URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,30,5,0.7142856938775517,0.05546751179799127,10.103896103896103,0.19794344473007713,4.120735819450473,10.103896103896103,154,778,1.8149100257069408,7,5.1426735218509
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,48,23,0.35211267109700467,0.08482676214477089,13.443037974683545,0.3116760828625235,5.501885623018428,13.443037974683545,331,1062,2.1308851224105463,3,5.907721280602637
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,33,19,0.2692307640532545,0.07843137243072192,14.517857142857142,0.4132841328413284,5.972456510279389,14.517857142857142,336,813,2.3886838868388685,0,6.671586715867159
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,29,58,-0.33333332950191574,0.13765822763028762,15.529411764705882,0.3977272727272727,6.370855614973262,15.529411764705882,315,792,2.303030303030303,1,6.5
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,17,7,0.41666664930555625,0.06469002677981125,11.842105263157896,0.31555555555555553,4.863064327485381,11.842105263157896,142,450,2.111111111111111,2,6.344444444444444
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,70,21,0.5384615325443788,0.08161434970258802,15.563218390804598,0.3803545051698671,6.377429158389787,15.563218390804598,515,1354,2.2769571639586412,0,6.621861152141802
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,29,51,-0.27499999656250007,0.10652463367972752,12.333333333333334,0.30594594594594593,5.055711711711712,12.333333333333334,283,925,2.0605405405405404,0,5.806486486486486
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,27,7,0.5882352768166096,0.0678642713216282,13.148936170212766,0.42880258899676377,5.431095503683812,13.148936170212766,265,618,2.407766990291262,0,6.6294498381877025
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,27,36,-0.1428571405895692,0.099369085016768,13.910714285714286,0.4197689345314506,5.732193288098295,13.910714285714286,327,779,2.3671373555840822,1,6.54813863928113
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,119,133,-0.055555555335097005,0.12996389884994125,10.172995780590718,0.3658233098299461,4.215527636168265,10.172995780590718,882,2411,2.18954790543343,0,6.176275404396516
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,53,13,0.6060605968778697,0.07746478864147326,15.43939393939394,0.4013738959764475,6.336307134148155,15.43939393939394,409,1019,2.3307163886162905,2,6.551521099116782
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,65,19,0.5476190410997733,0.09160305333522023,13.924050632911392,0.33,5.701620253164557,13.924050632911392,363,1100,2.2254545454545456,0,6.433636363636364
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,37,11,0.5416666553819447,0.15894039682470068,14.583333333333334,0.4057142857142857,5.995619047619048,14.583333333333334,142,350,2.337142857142857,0,6.851428571428571
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,21,26,-0.10638297645993668,0.027469316173308406,26.272727272727273,0.2980721700444884,10.628319777108706,26.272727272727273,603,2023,2.0800790904597135,42,5.882352941176471
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,31,24,0.12727272495867772,0.07868383393607463,14.169491525423728,0.3373205741626794,5.802724839834564,14.169491525423728,282,836,2.1148325358851676,3,6.161483253588517
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,31,24,0.12727272495867772,0.07868383393607463,14.169491525423728,0.3373205741626794,5.802724839834564,14.169491525423728,282,836,2.1148325358851676,3,6.161483253588517
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,35,10,0.5555555432098769,0.07293354931453233,12.17741935483871,0.3403973509933775,5.007126682332835,12.17741935483871,257,755,2.1311258278145697,3,6.047682119205298
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,28,6,0.6470588044982705,0.055921052539603534,17.272727272727273,0.325,7.039090909090909,17.272727272727273,247,760,2.1039473684210526,0,6.094736842105263
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,46,5,0.8039215528642834,0.05466237936263411,12.27659574468085,0.36048526863084923,5.054832405324681,12.27659574468085,416,1154,2.116117850953206,1,6.02686308492201
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,9,6,0.19999998666666757,0.011152416348585563,46.911764705882355,0.27899686520376177,18.876304628434447,46.911764705882355,445,1595,2.0595611285266457,42,5.780564263322884
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,18,34,-0.30769230177514806,0.09236234441853935,14.346938775510203,0.3627311522048364,5.8838679710860164,14.346938775510203,255,703,2.1578947368421053,1,6.108108108108108
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,11,8,0.15789472853185638,0.09452736271379422,9.461538461538462,0.2886178861788618,3.90006253908693,9.461538461538462,71,246,2.0447154471544717,2,5.715447154471545
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,29,10,0.4871794746877058,0.05462184866299461,13.65079365079365,0.2558139534883721,5.56264304171281,13.65079365079365,220,860,2.0127906976744185,1,5.746511627906977
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,20,2,0.8181817809917372,0.07308970075385482,18.6,0.32526881720430106,7.570107526881721,18.6,121,372,2.0698924731182795,0,5.870967741935484
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,17,9,0.30769229585798863,0.0465949819953495,27.56,0.21480406386066764,11.109921625544267,27.56,148,689,1.8127721335268505,4,5.177068214804064
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,20,13,0.21212120569329682,0.06432748525472225,16.075,0.3001555209953344,6.550062208398135,16.075,193,643,1.9860031104199067,1,5.587869362363919
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,21,19,0.04999999875000003,0.0635930046683736,14.903846153846153,0.2541935483870968,6.0632158808933,14.903846153846153,197,775,1.8438709677419354,8,5.272258064516129
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,26,23,0.06122448854643901,0.08166666653055556,19.736842105263158,0.296,8.013136842105263,19.736842105263158,222,750,2.016,5,5.94
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,58,32,0.2888888856790124,0.04162812208990374,30.476190476190474,0.319921875,12.31844494047619,30.476190476190474,819,2560,2.140234375,43,6.06640625
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,45,28,0.23287670913867523,0.10656934291011774,11.556962025316455,0.2508214676889376,4.723113397202158,11.556962025316455,229,913,1.855421686746988,1,5.157721796276014
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,57,29,0.3255813915630071,0.09237379152269196,13.630952380952381,0.3388646288209607,5.587926803909337,13.630952380952381,388,1145,2.160698689956332,1,6.1039301310043665
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,39,14,0.47169810430758297,0.07029177709510374,10.186813186813186,0.2588996763754045,4.178285145275437,10.186813186813186,240,927,1.9234088457389429,1,5.518878101402374
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,43,19,0.38709676795005216,0.06873614183066946,14.74025974025974,0.27929515418502204,6.007821957777905,14.74025974025974,317,1135,1.962114537444934,5,5.617621145374449
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,31,16,0.31914892937981004,0.07264296743022726,14.767857142857142,0.26118500604594924,6.0116168595612365,14.767857142857142,216,827,1.9105199516324063,11,5.4002418379685615
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,18,9,0.3333333209876548,0.06976744168018749,11.136363636363637,0.3040816326530612,4.576178107606679,11.136363636363637,149,490,1.973469387755102,0,5.510204081632653
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,29,9,0.5263157756232691,0.10215053735981039,13.257142857142858,0.20905172413793102,5.386477832512316,13.257142857142858,97,464,1.7737068965517242,2,5.213362068965517
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,55,31,0.2790697641968632,0.08229665063895056,16.25,0.2969230769230769,6.618769230769231,16.25,386,1300,2.016153846153846,7,5.673076923076923
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,38,40,-0.02564102531229455,0.07594936701465495,15.722222222222221,0.2431095406360424,6.386132705143306,15.722222222222221,344,1415,1.8749116607773852,1,5.086925795053004
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,30,15,0.3333333259259261,0.06787330306504781,13.666666666666666,0.3607188703465982,5.610954214805306,13.666666666666666,281,779,2.196405648267009,3,6.363286264441592
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,21,20,0.024390243307555043,0.06156156146912679,10.725,0.26107226107226106,4.394428904428905,10.725,224,858,1.8881118881118881,2,5.311188811188811
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,54,23,0.40259739736886496,0.10476190461937156,14.193548387096774,0.3068181818181818,5.800146627565983,14.193548387096774,270,880,2.1079545454545454,18,5.982954545454546
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,49,23,0.3611111060956791,0.037383177550683704,25.347826086956523,0.28387650085763294,10.252681035125663,25.347826086956523,662,2332,2.0368782161234993,44,5.70926243567753
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,18,0,0.9999999444444475,0.06593406569254921,15.80952380952381,0.3463855421686747,6.462363740676995,15.80952380952381,115,332,2.2018072289156625,0,6.337349397590361
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,78,37,0.3565217360302458,0.1529255317115352,104.5,0.3038277511961722,41.92153110047847,104.5,254,836,2.0921052631578947,3,6.282296650717703
